"first_name","last_name","title","birth_date","to_date","from_date"
"Hilari","Morton","Senior Staff","1965-01-03","9999-01-01","1994-03-10"
"Ohad","Esposito","Technique Leader","1965-01-19","9999-01-01","1998-08-06"
"Dipayan","Seghrouchni","Staff","1965-01-23","9999-01-01","1987-03-30"
"Kokou","Iisaka","Staff","1965-01-01","9999-01-01","1987-09-20"
"Teunis","Noriega","Technique Leader","1965-01-09","9999-01-01","1999-02-12"
"Lech","Himler","Senior Staff","1965-01-19","9999-01-01","1992-01-21"
"Juyoung","Seghrouchni","Senior Engineer","1965-01-24","9999-01-01","1993-08-02"
"Keiichiro","Glinert","Engineer","1965-01-21","9999-01-01","1993-09-16"
"Rasiah","Sudkamp","Senior Engineer","1965-01-10","9999-01-01","1995-04-18"
"Morrie","Schurmann","Staff","1965-01-30","9999-01-01","1998-12-31"
"Kazuhiko","Sidou","Technique Leader","1965-01-16","9999-01-01","1991-09-01"
"Denny","Tchuente","Assistant Engineer","1965-01-03","9999-01-01","1991-05-30"
"Sudhanshu","Demian","Senior Staff","1965-01-03","9999-01-01","1994-07-23"
"Magdalena","Cannard","Engineer","1965-01-10","9999-01-01","1994-04-22"
"Caolyn","Setiz","Staff","1965-01-22","9999-01-01","1990-02-06"
"Sastry","Marrevee","Engineer","1965-01-19","9999-01-01","1999-09-25"
"Nakhoon","Luga","Senior Staff","1965-01-14","9999-01-01","1986-12-18"
"Nikolaos","Kruskal","Engineer","1965-01-18","9999-01-01","1990-12-17"
"Bouchung","Bugrara","Senior Staff","1965-01-30","9999-01-01","1990-06-18"
"Arvin","Rabejac","Engineer","1965-01-17","9999-01-01","1994-01-01"
"Remmert","Schahn","Staff","1965-01-14","9999-01-01","1986-09-06"
"Gaurav","Swick","Assistant Engineer","1965-01-21","9999-01-01","1996-05-07"
"Morris","Garigliano","Senior Staff","1965-01-15","9999-01-01","1995-05-24"
"Berry","DeMori","Engineer","1965-01-02","9999-01-01","1992-12-27"
"Yaghout","Kenevan","Engineer","1965-01-31","9999-01-01","2000-09-15"
"Zengping","Boreale","Staff","1965-01-11","9999-01-01","1998-12-16"
"Gennady","Roison","Assistant Engineer","1965-01-16","9999-01-01","1989-12-06"
"Filipp","Carrere","Technique Leader","1965-01-06","9999-01-01","1989-01-09"
"Mabhin","Calkin","Engineer","1965-01-31","9999-01-01","1989-11-30"
"Adil","Matzke","Engineer","1965-01-07","9999-01-01","1987-05-08"
"Filipp","Rousseau","Engineer","1965-01-19","9999-01-01","1995-06-07"
"Stafford","Honglei","Staff","1965-01-03","9999-01-01","1998-08-16"
"Surveyors","Crouzet","Senior Staff","1965-01-21","9999-01-01","1989-04-24"
"Taiji","Jarecki","Engineer","1965-01-09","9999-01-01","1991-06-27"
"Elzbieta","Morris","Engineer","1965-01-24","9999-01-01","1988-07-12"
"Satoru","Yoshizawa","Senior Staff","1965-01-19","9999-01-01","1994-03-27"
"Ziva","Kowalchuk","Engineer","1965-01-30","9999-01-01","1987-06-13"
"Utz","Heuter","Senior Staff","1965-01-18","9999-01-01","1986-06-15"
"Kazunori","Peak","Senior Staff","1965-01-23","9999-01-01","1999-08-13"
"Rafael","Skafidas","Engineer","1965-01-10","9999-01-01","1991-03-28"
"Vidar","Demri","Staff","1965-01-12","9999-01-01","1999-12-31"
"Candida","Benveniste","Engineer","1965-01-24","9999-01-01","1999-01-20"
"Christoph","Trystram","Senior Staff","1965-01-30","9999-01-01","1993-10-15"
"Otmar","Rothenberg","Engineer","1965-01-21","9999-01-01","1989-03-14"
"Jianhui","Cangellaris","Engineer","1965-01-21","9999-01-01","1991-10-06"
"Piyush","Danecki","Engineer","1965-01-21","9999-01-01","2000-01-08"
"Yongmin","Lanteri","Senior Staff","1965-01-01","9999-01-01","2002-03-19"
"Karsten","Azadmanesh","Senior Engineer","1965-01-09","9999-01-01","1985-11-29"
"Mohammed","Brizzi","Senior Staff","1965-01-04","9999-01-01","1991-12-28"
"Huai","Birch","Engineer","1965-01-29","9999-01-01","2002-06-12"
"Perla","Jumpertz","Senior Staff","1965-01-20","9999-01-01","1994-08-24"
"Jasminko","Bresenham","Senior Staff","1965-01-27","9999-01-01","1994-01-19"
"Barry","Unno","Senior Staff","1965-01-06","9999-01-01","1990-11-16"
"Manibrata","Genther","Engineer","1965-01-01","9999-01-01","1988-01-15"
"Hilari","Fairtlough","Technique Leader","1965-01-02","9999-01-01","1986-12-15"
"Jaana","Perez","Technique Leader","1965-01-26","9999-01-01","1996-03-11"
"Roddy","Rubsam","Senior Engineer","1965-01-25","9999-01-01","1993-09-19"
"Lubomir","Wroclawski","Engineer","1965-01-25","9999-01-01","1993-07-25"
"Zhonghui","Conta","Staff","1965-01-04","9999-01-01","1994-09-10"
"Anwar","Passafiume","Staff","1965-01-12","9999-01-01","1987-01-30"
"Cordelia","Gischer","Engineer","1965-01-20","9999-01-01","1989-03-14"
"Ingmar","Basawa","Senior Staff","1965-01-19","9999-01-01","1991-11-09"
"Nevin","Rodham","Senior Staff","1965-01-28","9999-01-01","1998-12-14"
"Jiakeng","Kalorkoti","Engineer","1965-01-21","9999-01-01","1994-12-25"
"Zongyan","Dalphin","Engineer","1965-01-25","9999-01-01","1988-04-23"
"Wanqing","Krohm","Staff","1965-01-19","9999-01-01","1991-01-22"
"Piyawadee","Leppanen","Senior Staff","1965-01-28","9999-01-01","1999-02-25"
"Shuji","Kandlur","Senior Engineer","1965-01-25","9999-01-01","1990-03-02"
"Manu","Rosiles","Senior Staff","1965-01-28","9999-01-01","1998-03-03"
"Falguni","Pezzoli","Engineer","1965-01-15","9999-01-01","1996-12-23"
"Tooru","Veldwijk","Senior Staff","1965-01-27","9999-01-01","1993-11-21"
"Xinglin","Mitsuhashi","Engineer","1965-01-29","9999-01-01","1988-12-14"
"Chenxi","Sundgren","Senior Engineer","1965-01-09","9999-01-01","1986-09-02"
"Tua","Giveon","Technique Leader","1965-01-18","9999-01-01","1998-09-09"
"Xumin","Thorensen","Staff","1965-01-06","9999-01-01","1998-04-26"
"Gilbert","Calkin","Senior Staff","1965-01-14","9999-01-01","1988-03-21"
"Satoru","Vidal","Assistant Engineer","1965-01-30","9999-01-01","1998-05-02"
"Valery","Mersereau","Assistant Engineer","1965-01-22","9999-01-01","1998-07-01"
"Kolar","Steenbeek","Senior Engineer","1965-01-17","9999-01-01","1986-10-18"
"Jouko","Hellwagner","Senior Engineer","1965-01-29","9999-01-01","2000-10-23"
"Pranay","Giarratana","Senior Engineer","1965-01-27","9999-01-01","1992-09-29"
"Kousuke","Vecchio","Senior Engineer","1965-01-24","9999-01-01","1990-02-23"
"Tetsushi","Conta","Senior Staff","1965-01-08","9999-01-01","1995-07-04"
"Mayuko","Skafidas","Technique Leader","1965-01-26","9999-01-01","1999-04-19"
"Leon","Potthoff","Engineer","1965-01-26","9999-01-01","1985-12-08"
"Randi","Avouris","Engineer","1965-01-28","9999-01-01","1986-07-16"
"Sailaja","Chvatal","Staff","1965-01-11","9999-01-01","1999-05-18"
"Gudjon","Majewski","Senior Engineer","1965-01-08","9999-01-01","1999-10-26"
"Yakkov","Samarati","Senior Staff","1965-01-06","9999-01-01","1997-10-10"
"Divine","Sidhu","Senior Staff","1965-01-04","9999-01-01","1989-07-05"
"Leandro","Gist","Technique Leader","1965-01-12","9999-01-01","1993-02-03"
"Abdelwaheb","Dulin","Senior Engineer","1965-01-30","9999-01-01","1993-08-05"
"Oksana","Zultner","Senior Staff","1965-01-01","9999-01-01","1991-03-23"
"Harngdar","Schapire","Senior Engineer","1965-01-13","9999-01-01","1996-11-09"
"Mark","Lalonde","Staff","1965-01-10","9999-01-01","1996-11-24"
"Murthy","Peek","Engineer","1965-01-10","9999-01-01","2000-10-30"
"Terresa","Peres","Senior Staff","1965-01-08","9999-01-01","1990-09-15"
"Atreye","Stanger","Assistant Engineer","1965-01-17","9999-01-01","1993-09-10"
"Ingmar","Nannarelli","Senior Staff","1965-01-12","9999-01-01","1988-06-10"
"Radoslaw","Maliniak","Staff","1965-01-16","9999-01-01","2001-09-18"
"Tadahiko","Melton","Engineer","1965-01-23","9999-01-01","1995-01-07"
"Jessie","Thorelli","Senior Staff","1965-01-12","9999-01-01","1999-12-16"
"Steen","Fasbender","Technique Leader","1965-01-29","9999-01-01","1993-02-14"
"Anwar","Collette","Senior Engineer","1965-01-15","9999-01-01","2001-02-03"
"Angel","Sichman","Staff","1965-01-08","9999-01-01","1988-11-16"
"Kyoichi","Callaway","Senior Staff","1965-01-05","9999-01-01","1990-12-30"
"Chinhyun","Bauknecht","Senior Engineer","1965-01-31","9999-01-01","1986-12-19"
"Naftaly","Foong","Senior Engineer","1965-01-08","9999-01-01","1991-05-10"
"Felicidad","Kumaresan","Staff","1965-01-28","9999-01-01","1994-09-06"
"Erzsebet","Shigei","Senior Engineer","1965-01-10","9999-01-01","1995-01-16"
"Moni","Kohling","Staff","1965-01-16","9999-01-01","2001-09-18"
"Ennio","Babu","Senior Engineer","1965-01-27","9999-01-01","1994-08-31"
"Bokyung","Stamatiou","Technique Leader","1965-01-12","9999-01-01","1991-02-12"
"Jiang","Waschkowski","Engineer","1965-01-04","9999-01-01","1989-05-27"
"Leif","Ashish","Senior Staff","1965-01-17","9999-01-01","1994-10-14"
"Chandrasekaran","Peek","Engineer","1965-01-31","9999-01-01","1990-09-17"
"Ashish","Talmon","Senior Engineer","1965-01-30","9999-01-01","1999-02-28"
"Oscar","Kusalik","Senior Staff","1965-01-01","9999-01-01","1991-05-11"
"Ulf","Oberman","Senior Engineer","1965-01-29","9999-01-01","1997-03-15"
"Serif","Gladwell","Staff","1965-01-21","9999-01-01","1987-03-06"
"Fen","Genin","Senior Staff","1965-01-02","9999-01-01","1986-05-09"
"Uma","Reinhard","Staff","1965-01-04","9999-01-01","1997-11-01"
"Hailing","Levergood","Staff","1965-01-01","9999-01-01","2000-01-12"
"Kotesh","Rajala","Engineer","1965-01-22","9999-01-01","1992-06-23"
"Jeong","Undy","Staff","1965-01-22","9999-01-01","1985-02-13"
"Suzette","Butterworth","Senior Engineer","1965-01-02","9999-01-01","1994-02-19"
"Michaela","Randi","Engineer","1965-01-05","9999-01-01","1985-11-23"
"Masasuke","Babu","Engineer","1965-01-12","9999-01-01","1988-03-31"
"Fumiko","Deverell","Staff","1965-01-14","9999-01-01","1987-08-15"
"JoAnne","Baez","Senior Engineer","1965-01-14","9999-01-01","1987-02-16"
"Huei","Orsini","Engineer","1965-01-14","9999-01-01","1986-06-04"
"Shuichi","Ruemmler","Staff","1965-01-25","9999-01-01","1998-04-08"
"Martijn","Vendrig","Senior Staff","1965-01-08","9999-01-01","1997-03-03"
"Changho","Cappelli","Staff","1965-01-08","9999-01-01","1996-05-04"
"Rimon","Kawashima","Senior Staff","1965-01-07","9999-01-01","1992-02-06"
"Mahmut","Lampe","Engineer","1965-01-01","9999-01-01","1985-05-11"
"Otmar","Sudbeck","Staff","1965-01-02","9999-01-01","1998-07-22"
"Toshiki","Ghazalie","Senior Staff","1965-01-10","9999-01-01","1991-12-05"
"Sudhanshu","Boissier","Engineer","1965-01-07","9999-01-01","1985-05-11"
"Spyrose","Felder","Senior Engineer","1965-01-20","9999-01-01","1997-10-20"
"Harngdar","Bernardinello","Engineer","1965-01-20","9999-01-01","1988-02-29"
"Michaela","Ramsak","Staff","1965-01-01","9999-01-01","1992-12-21"
"Shimshon","Aingworth","Senior Staff","1965-01-09","9999-01-01","1986-04-13"
"Marla","Cherinka","Technique Leader","1965-01-17","9999-01-01","1986-12-01"
"Petter","Thummel","Technique Leader","1965-01-25","9999-01-01","1995-12-24"
"Bikash","Buchter","Senior Staff","1965-01-20","9999-01-01","1996-01-08"
"Willard","Vernadat","Engineer","1965-01-06","9999-01-01","1997-03-04"
"Keung","Schapiro","Senior Engineer","1965-01-11","9999-01-01","2001-02-08"
"Xiong","Uhrik","Senior Engineer","1965-01-20","9999-01-01","1988-03-21"
"Yucai","Simmen","Senior Staff","1965-01-04","9999-01-01","1987-10-13"
"Shuji","Remmers","Staff","1965-01-19","9999-01-01","1987-12-18"
"Brigham","Eterovic","Senior Engineer","1965-01-29","9999-01-01","1994-10-08"
"Shaleah","Eickenmeyer","Senior Staff","1965-01-22","9999-01-01","1993-10-09"
"Yucel","Lortz","Engineer","1965-01-12","9999-01-01","1995-02-21"
"Maha","Waterhouse","Senior Staff","1965-01-13","9999-01-01","1997-07-04"
"Huei","Boguraev","Staff","1965-01-26","9999-01-01","1993-12-31"
"Phillip","Oxenboll","Engineer","1965-01-11","9999-01-01","1999-05-26"
"Alenka","Ritcey","Engineer","1965-01-18","9999-01-01","1997-02-09"
"Maria","Eppinger","Engineer","1965-01-24","9999-01-01","1997-01-30"
"Mingzeng","Sadowski","Senior Engineer","1965-01-16","9999-01-01","1989-11-12"
"Mark","Schwaller","Senior Staff","1965-01-05","9999-01-01","1994-08-10"
"Volkmar","Uhrik","Engineer","1965-01-21","9999-01-01","1988-01-16"
"Sariel","Wynblatt","Assistant Engineer","1965-01-16","9999-01-01","1996-05-18"
"Dulce","Speel","Engineer","1965-01-11","9999-01-01","1987-10-19"
"Zhaofang","Penn","Senior Staff","1965-01-26","9999-01-01","1997-07-24"
"Wuxu","Trogemann","Senior Staff","1965-01-05","9999-01-01","1997-01-27"
"Junsik","Berendt","Senior Engineer","1965-01-10","9999-01-01","1988-04-27"
"Tooru","Daescu","Senior Staff","1965-01-22","9999-01-01","1998-03-20"
"Pasqua","Maraist","Engineer","1965-01-31","9999-01-01","1993-12-06"
"Toong","Litecky","Staff","1965-01-03","9999-01-01","1989-03-01"
"Marco","Usdin","Engineer","1965-01-25","9999-01-01","1996-10-29"
"Gonzalo","Binkley","Senior Engineer","1965-01-10","9999-01-01","1985-08-16"
"Naraig","Jenevein","Senior Engineer","1965-01-26","9999-01-01","1987-01-18"
"Juyoung","Vieri","Staff","1965-01-21","9999-01-01","1991-08-12"
"Edwin","Haldar","Senior Staff","1965-01-05","9999-01-01","1995-07-12"
"Sariel","Massonet","Senior Staff","1965-01-29","9999-01-01","1987-11-20"
"Hitomi","Schaap","Staff","1965-01-12","9999-01-01","1999-09-27"
"Leen","Lamparter","Senior Engineer","1965-01-28","9999-01-01","1993-06-07"
"Yuichiro","Malabarba","Senior Staff","1965-01-23","9999-01-01","1994-03-07"
"Filipp","Akaboshi","Senior Staff","1965-01-05","9999-01-01","1992-05-20"
"Kazuhisa","Benantar","Staff","1965-01-16","9999-01-01","1990-03-30"
"Filipp","Flanders","Engineer","1965-01-07","9999-01-01","1990-11-26"
"Lena","Peek","Senior Engineer","1965-01-09","9999-01-01","1991-05-16"
"Tze","Bach","Engineer","1965-01-03","9999-01-01","1999-03-09"
"Siddarth","Cappelletti","Staff","1965-01-14","9999-01-01","1999-09-10"
"Baocai","Leaver","Senior Staff","1965-01-14","9999-01-01","1998-08-05"
"Xinan","Rindone","Engineer","1965-01-26","9999-01-01","1996-10-08"
"Mooi","Stafford","Senior Engineer","1965-01-24","9999-01-01","1996-10-06"
"Aron","Harbusch","Staff","1965-01-12","9999-01-01","1997-10-02"
"Boguslaw","Snedden","Senior Staff","1965-01-30","9999-01-01","1985-02-20"
"Marie","Khalid","Senior Engineer","1965-01-06","9999-01-01","1996-06-11"
"Chriss","Fasbender","Staff","1965-01-29","9999-01-01","1995-05-23"
"Theirry","Albarhamtoshy","Senior Staff","1965-01-29","9999-01-01","1991-09-27"
"Youngkon","Rohrbach","Senior Engineer","1965-01-15","9999-01-01","1989-10-20"
"Rosine","Lakshmanan","Senior Engineer","1965-01-29","9999-01-01","1986-01-31"
"Chikako","Armand","Senior Engineer","1965-01-13","9999-01-01","1985-05-18"
"Phule","Heijenga","Staff","1965-01-14","9999-01-01","1996-12-08"
"Trygve","Krupka","Senior Staff","1965-01-20","9999-01-01","1994-03-11"
"Adas","Denti","Staff","1965-01-28","9999-01-01","1986-05-30"
"Jouni","Munoz","Senior Staff","1965-01-21","9999-01-01","1996-10-07"
"Augustine","Mungall","Senior Engineer","1965-01-25","9999-01-01","1994-01-13"
"Arup","Colorni","Senior Staff","1965-01-09","9999-01-01","1996-02-05"
"Shugo","Yurek","Staff","1965-01-31","9999-01-01","1992-08-28"
"Alain","Penn","Technique Leader","1965-01-15","9999-01-01","1986-05-03"
"Khalil","Picci","Engineer","1965-01-31","9999-01-01","1998-11-24"
"Lobel","Werthner","Senior Engineer","1965-01-22","9999-01-01","1988-03-17"
"Premsyl","Lortz","Staff","1965-01-31","9999-01-01","1993-02-01"
"Eberhardt","Carrera","Staff","1965-01-06","9999-01-01","1999-02-23"
"Sham","Vasanthakumar","Senior Staff","1965-01-12","9999-01-01","1993-05-24"
"Zdislav","Mandelberg","Engineer","1965-01-20","9999-01-01","1994-09-11"
"Jiafu","Marchegay","Engineer","1965-01-30","9999-01-01","1985-03-02"
"Bodo","Schade","Senior Staff","1965-01-23","9999-01-01","1986-02-14"
"Arnould","Gaughan","Engineer","1965-01-27","9999-01-01","1991-01-23"
"Shaowen","Segond","Engineer","1965-01-01","9999-01-01","1986-01-06"
"Etsuo","Serot","Staff","1965-01-19","9999-01-01","1989-06-14"
"Sumant","Nergos","Senior Staff","1965-01-29","9999-01-01","1994-03-02"
"Breannda","Cangellaris","Staff","1965-01-13","9999-01-01","2000-01-27"
